Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Dini, Sekti Kartika; Aidi, Muhammad Nur; Sartono, Bagus; ",Sequential pattern mining of rawi hadis (Case study: Shahih hadis of Imam Bukhari from software Ensiklopedi Hadis Kitab 9 Imam),AIP Conference Proceedings,1827,1,020030,2017,AIP Publishing
"Pusponegoro, Novi Hidayat; Muslim, Agus; Notodiputro, Khairil Anwar; Sartono, Bagus; ","Group LASSO for Rainfall Data Modeling in Indramayu District, West Java, Indonesia",Procedia Computer Science,116,,190-197,2017,Elsevier
"Indahwati, Yenni Angraini; Sartono, Bagus; ",Penyusunan Rancangan Near-Orthogonal Fractional Factorial Split-Plot,Prosiding Seminar Statistika Nasional 2013,,,327-338,2013,
"Sartono, Bagus; Schoen, Eric; Goos, Peter; ",Blocking Orthogonal Designs With Mixed Integer Linear Programming,Technometrics,57,3,428-439,2015,Taylor & Francis
"Sartono, Bagus; Aunuddin, Aunuddin; Susetyo, Budi; ",OPTIMUM DESIGN PADA PERANCANGAN PERCOBAAN MIXTURE,STATISTIKA: Journal of Theoretical Statistics and Its Applications,3,1,31-36,2014,
"Anggana, Hilman Dwi; Saefuddin, Asep; Sartono, Bagus; ",Modeling of Dengue Hemorrhagic Fever in Bogor using Bayesian SUR-SAR,Forum Statistika dan Komputasi,20,2,,2015,
"Dyah, Syafitri Utami; Bagus, Sartono; Salamatuttanzil, Salamatuttanzil; ",Pengujian Autokorelasi terhadap Sisaan Model Spatial Logistik,,,,,2008,Jurusan Pendidikan Matematika Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Negeri Yogyakarta
"Sinta, Dewi; Wijayanto, Hari; Sartono, Bagus; ",Ensemble K-Nearest Neighbors Method to Predict Rice Price in Indonesia,Applied Mathematical Sciences,8,160,7993-8005,2014,
"Santoso, Ary; Kurnia, Anang; Sartono, Bagus; Muchlisoh, Siti; ",Simulation Study for Evaluation of Weighting Methods in National Socio-Economics Survey (Susenas),International Journal of Applied Engineering Research,11,13,8031-8036,2016,
"Sartono, Bagus; Syafitri, Utami Dyah; ",Metode pohon gabungan: Solusi pilihan untuk mengatasi kelemahan pohon regresi dan klasifikasi tunggal,Forum Statistika dan Komputasi,15,1,,2010,
"Sartono, Bagus; ",dkk. 2003,Analisis Peubah Ganda,,,,,
"Sartono, Bagus; Wahyudi, Setyo; ",Tinjauan empirik terhadap dugaan galat baku nilai tengah yang dihasilkan PROC SURVEYMEANS (studi kasus penarikan contoh acak berlapis bertahap),,,,,2006,IPB (Bogor Agricultural University)
"Sartono, Bagus; Goos, Peter; Schoen, Eric D; ",Classification of strength-three multi-level orthogonal arrays,,,,,2010,
"Sartono, Bagus; ",Kajian Pemilihan Titik Rancangan Optimum pada Percobaan Komposisi,,,,,2004,
"Masjkur, Mohammad; Sartono, Bagus; Sulvianti, Itasia Dina; ",Model parameter acak percobaan pemupukan fosfor Pada padi sawah,,,,,2013,Bogor Agricultural University
"Sartono, Bagus; Goos, Peter; Schoen, Eric D; ",Orthogonal blocking of regular and non-regular strength-3 designs,,,,,2012,
"Masjkur, Mohammad; Sartono, Bagus; Sulvianti, Itasia Dina; ",Comparison of statistical models for determination of rice field phosphorus critical level,,,,,2013,ICAS-2013
"Sartono, Bagus; Rahardiantoro, Septian; ",An Implementation of Genetic Algorithm to Generate the Most Compromised Decision when Information of the Alternativesis Incomplete,"Advances on Statistical Methods in Engineering, Science, Economy, Education and Disaster Management",,,49,2015,
"Hidayat, Firman; Notodiputro, Khairil Anwar; Sartono, Bagus; ",COMPARISON WILLIAMS METHOD AND BETA-BINOMIAL IN OVERDISPERSION OF LOGISTIC REGRESSION: A CASE OF INDONESIA GENERAL ELECTION DATA 2014,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Kurnia, Anang; Sartono, Bagus; Irvani, Deni; ",Analisis biplot dan rantai makrov untuk menelaah perilaku konsumen majalah berita mingguan,,,,,2002,IPB (Bogor Agricultural University)
"Wijayanto, Hari; Sartono, Bagus; Fitrianto, Anwar; Nursyifa, Casia; ",IMPROVING THE COMPONENTS INDEPENDENCE OF DECOMPOSITION IN TIME SERIES DATA,Far East Journal of Mathematical Sciences,96,3,303,2015,Pushpa Publishing House
"Setiawati, Desy; Wigena, Aji Hamim; Sartono, Bagus; ",CLUSTERING RURAL DEVELOPMENT TYPOLOGY IN EAST JAVA PROVINCE USING LATENT CLASS ANALYSIS,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Ikhsan, Aulia; Sartono, Bagus; Djuraidah, Anik; ",Classification Analysis to Predict a Closing Price Condition of the Stock of UNVR using the Gaussian Copula Model,International Journal of Engineering and Management Research (IJEMR),6,5,255-260,2016,Vandana Publications
"Surbakti, Shafa Rosea; Sartono, Bagus; ",ALTERNATIVE DETERMINANT VARIABLES IN URBAN/RURAL VILLAGE CLASSIFICATION IN INDONESIA,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Syafitri, Utami; Sartono, Bagus; Goos, Peter; ",I-optimal design of mixture experiments in the presence of ingredient availability constraints,Journal of Quality Technology,47,3,220,2015,American Society for Quality
"Pusponegoro, Novi Hidayat; Notodiputro, Khairil Anwar; Sartono, Bagus; ",Linear Mixed Model for Analyzing Longitudinal Data: A Simulation Study of Children Growth Differences,Procedia Computer Science,116,,284-291,2017,Elsevier
"Anggistia, M; Saefuddin, A; Sartono, B; ",Simultaneous Co-Clustering and Classification in Customers Insight,Journal of Physics: Conference Series,824,1,012033,2017,IOP Publishing
"Sartono, Bagus; ",PENGGUNAAN ALGORITMA SIMULATED ANNEALING UNTUK MENYELESAIKAN TEKA-TEKI BINARY DAN SUDOKU (Solving Binary and Sudoku Puzzles with a Simulated Annealing Algorithm),Forum Statistika dan Komputasi,16,2,,2011,
"Sartono, Bagus; ",Orthogonal experimental designs under complete and restricted randomization,,,,,2012,University of Antwerp
"Sartono, Bagus; Goos, Peter; Schoen, Eric D; ",Classification of three-level strength-3 arrays,Journal of Statistical Planning and Inference,142,4,794-809,2012,Elsevier
"Sari, Putri Dina; Aidi, Muhammad Nur; Sartono, Bagus; ",Credit Scoring Analysis using LASSO Logistic Regression and Support Vector Machine (SVM),month,1,,13,2017,
"Sartono, Bagus; ",Rancangan Faktorial Pecahan,,,,,2008,"JurusanStatistika, IPB"
"Sartono, Bagus; ",Pengklasifikasian Kolektibilitas Nasabah Kredit Menggunakan Metode Simple Naïve Bayesian Classifier,FORUM STATISTIKA DAN KOMPUTASI,12,2,,2012,
"Rahardiantoro, S; Budiarti, R; Sartono, B; ",Intervention Model Indonesia's Inflation Due to Rising Fuel Prices,International Journal of Applied Mathematics and Statistics™,53,5,125-129,2014,
"Sartono, Bagus; Afendi, Farit M; ",PENGGUNAAN GENERALIZED F TEST PADA ANALISIS RAGAM SATU ARAH DENGAN RAGAM TIDAK HOMOGEN,Forum Statistika dan Komputasi,11,2,,2006,
"Sartono, Bagus; Hidayatuloh, Aep; Soleh, Agus M; ",An Implementation of Genetic Algorithm on Clusterwise Regression Analysis,,,,,,
"Wijaya, Hendri; Beik, Irfan Syauqi; Sartono, Bagus; ",Pengaruh Kualitas Layanan Perbankan Terhadap Kepuasan dan Loyalitas Nasabah Bank Syariah XYZ di Jakarta,Jurnal Aplikasi Bisnis dan Manajemen (JABM),3,3,417,2017,
"Santoso, B; Wijayanto, H; Notodiputro, KA; Sartono, B; ",Synthetic Over Sampling Methods for Handling Class Imbalanced Problems: A Review,IOP Conference Series: Earth and Environmental Science,58,1,012031,2017,IOP Publishing
"Angraini, Yenni; Sartono, Bagus; Kusumaningrum, Dian; ",PENGGUNAAN SOCIOGRAM UNTUK MENGIDENTIFIKASI POLA JARINGAN SOSIAL PEMBELAJARAN MANDIRI MAHASISWA (Identification of Social Network of Student’s Independent Learning using Sociogram),FORUM STATISTIKA DAN KOMPUTASI,17,1,,2012,
"Nadhiroh, Irene Muflikh; Aidi, Muhammad Nur; Sartono, Bagus; ",Kajian Scientometrics: Analisis Jaringan Sosial pada Publikasi Internasional Indonesia Bidang Kimia,STI Policy and Management Journal,13,1,68-84,2013,
"Sartono, B; Syafitri, UD; ",Ensemble Tree: an Alternative toward Simple Classification & Regression Tree,Forum Statistika dan Komputasi,15,1,1-7,2010,
